Date,Country,Continent,Population,New_Cases,Total_Cases,New_Deaths,Total_Deaths,New_Recovered,Total_Recovered,Active_Cases,New_Vaccinations,Total_Vaccinations,Vaccination_Rate,New_Tests,Total_Tests,Hospital_Patients,ICU_Patients,Positivity_Rate,Recovery_Rate,Death_Rate
2020-01-01,India,Asia,1278642419,699,699,10,10,533,533,156,5574,5574,0.0,10485,2631735,3494.0,109.0,6.67,76.25,1.43
2020-01-02,India,Asia,1278642419,982,1681,31,41,939,1472,168,5295,10869,0.0,8838,1069398,1234.0,469.0,11.11,87.57,2.44
2020-01-03,India,Asia,1278642419,102,1783,1,42,98,1570,171,6086,16955,0.0,1020,349860,1949.0,576.0,10.0,88.05,2.36
2020-01-04,India,Asia,1278642419,955,2738,26,68,752,2322,348,5199,22154,,13370,1510810,2485.0,610.0,7.14,84.81,2.48
2020-01-05,India,Asia,1278642419,929,3667,12,80,836,3158,429,6705,28859,0.0,17651,6407313,1528.0,437.0,5.26,86.12,2.18
2020-01-06,India,Asia,1278642419,1570,5237,30,110,1357,4515,612,2802,31661,0.0,26690,7740100,3893.0,486.0,5.88,86.21,2.1
2020-01-07,India,Asia,1278642419,1120,6357,24,134,1068,5583,640,7161,38822,0.0,16800,4855200,3848.0,261.0,6.67,87.82,2.11
2020-01-08,India,Asia,1278642419,745,7102,13,147,694,6277,678,2150,40972,0.0,12665,1773100,4909.0,197.0,5.88,88.38,2.07
2020-01-09,India,Asia,1278642419,820,7922,8,155,691,6968,799,4076,45048,0.0,6560,1062720,2077.0,657.0,12.5,87.96,1.96
2020-01-10,India,Asia,1278642419,1461,9383,46,201,1343,8311,871,6597,51645,0.0,17532,2454480,3611.0,240.0,8.33,88.58,2.14
2020-01-11,India,Asia,1278642419,796,10179,16,217,714,9025,937,4798,56443,,9552,1279968,2781.0,735.0,8.33,88.66,2.13
2020-01-12,India,Asia,1278642419,732,10911,22,239,671,9696,976,4863,61306,0.0,12444,4753608,552.0,,5.88,88.86,2.19
2020-01-13,India,Asia,1278642419,21,10932,0,239,16,9712,981,6479,67785,0.01,294,94374,613.0,105.0,7.14,88.84,2.19
2020-01-14,India,Asia,1278642419,1333,12265,34,273,1059,10771,1221,3149,70934,0.01,18662,3452470,1772.0,252.0,7.14,87.82,2.23
2020-01-15,India,Asia,1278642419,1331,13596,25,298,1029,11800,1498,6613,77547,0.01,25289,9736265,3677.0,349.0,5.26,86.79,2.19
2020-01-16,India,Asia,1278642419,1045,14641,14,312,865,12665,1664,6351,83898,0.01,8360,1797400,1356.0,642.0,12.5,86.5,2.13
2020-01-17,India,Asia,1278642419,592,15233,8,320,513,13178,1735,3165,87063,0.01,7104,1839936,4829.0,673.0,8.33,86.51,2.1
2020-01-18,India,Asia,1278642419,2048,17281,42,362,1973,15151,1768,5314,92377,0.01,22528,8876032,1341.0,519.0,9.09,87.67,2.09
2020-01-19,India,Asia,1278642419,336,17617,6,368,254,15405,1844,4952,97329,0.01,2688,857472,4147.0,651.0,12.5,87.44,2.09
2020-01-20,India,Asia,1278642419,1113,18730,15,383,954,16359,1988,5542,102871,0.01,14469,4369638,4981.0,448.0,7.69,87.34,2.04
2020-01-21,India,Asia,1278642419,605,19335,20,403,516,16875,2057,3797,106668,0.01,5445,1845855,247.0,520.0,11.11,87.28,2.08
2020-01-22,India,Asia,1278642419,1000,20335,25,428,903,17778,2129,5680,112348,0.01,10000,2460000,709.0,773.0,10.0,87.43,2.1
2020-01-23,India,Asia,1278642419,875,21210,33,461,732,18510,2239,4514,116862,0.01,12250,4483500,2435.0,650.0,7.14,87.27,2.17
2020-01-24,India,Asia,1278642419,847,22057,31,492,798,19308,2257,4420,121282,0.01,8470,2058210,312.0,773.0,10.0,87.54,2.23
2020-01-25,India,Asia,1278642419,1302,23359,33,525,1045,20353,2481,7352,128634,0.01,24738,6407142,4598.0,46.0,5.26,87.13,2.25
2020-01-26,India,Asia,1278642419,551,23910,11,536,501,20854,2520,7143,135777,0.01,5510,843030,4549.0,161.0,10.0,87.22,2.24
2020-01-27,India,Asia,1278642419,1477,25387,18,554,1160,22014,2819,7190,142967,0.01,19201,6259526,4249.0,263.0,7.69,86.71,2.18
2020-01-28,India,Asia,1278642419,1455,26842,57,611,1182,23196,3035,4703,147670,0.01,13095,4020165,3827.0,172.0,11.11,86.42,2.28
2020-01-29,India,Asia,1278642419,1197,28039,18,629,994,24190,3220,4310,151980,0.01,17955,4075785,1268.0,410.0,6.67,86.27,2.24
2020-01-30,India,Asia,1278642419,809,28848,17,646,653,24843,3359,5262,157242,0.01,10517,3817671,3486.0,572.0,7.69,86.12,2.24
2020-01-31,India,Asia,1278642419,1744,30592,43,689,1529,26372,3531,5968,163210,0.01,13952,1437056,4598.0,668.0,12.5,86.21,2.25
2020-02-01,India,Asia,1278642419,1218,31810,18,707,1165,27537,3566,4752,167962,0.01,14616,4852512,2615.0,108.0,8.33,86.57,2.22
2020-02-02,India,Asia,1278642419,1142,32952,30,737,1000,28537,3678,5614,173576,0.01,21698,7637696,1189.0,200.0,5.26,86.6,2.24
2020-02-03,India,Asia,1278642419,1670,34622,32,769,1314,29851,4002,4384,177960,0.01,26720,7294560,619.0,332.0,6.25,86.22,2.22
